Crop,Soil_pH,Nitrogen,Phosphorus,Potassium,Temperature,Humidity,Rainfall
Paddy,6.14,102,62,58,29.93783426530973,54.326508721313616,142.3794782273457
Paddy,5.75,102,56,54,24.675666141341164,44.54230368798516,84.94392121304506
Paddy,6.69,102,61,48,27.801020317667163,66.86292782371198,53.66011723348071
Paddy,5.94,115,60,53,28.200654190149194,60.81230803615173,180.5148310851395
Paddy,6.74,91,64,56,22.772816832882903,70.89273566942558,53.19041162755807
Paddy,6.95,99,63,49,34.54376941646838,60.80654004447973,181.2052509026299
Paddy,6.61,100,55,48,31.62699235041672,74.08726001274161,129.3405701040818
Paddy,7.33,112,56,40,34.09248412346284,62.07627355097942,190.8601547769344
Paddy,7.1,103,62,49,33.422410256414736,62.437518861415455,169.81748536604982
Paddy,6.35,96,50,42,28.968499682166275,75.06614410633381,199.69011658000065
Paddy,6.54,100,61,52,33.82811352534675,56.13931464849588,102.60677231775652
Paddy,5.52,100,64,49,21.327387530778797,45.36060913802563,165.07824333966903
Paddy,6.11,99,57,40,22.93974293628718,41.15130705253356,110.28963704138631
Paddy,5.85,102,53,49,20.67840933365807,70.20549022694476,121.98134304558631
Paddy,6.44,95,63,59,24.879954961448966,64.8123820541386,144.1258194827555
Paddy,7.14,101,56,45,25.83015934534223,68.16319072396894,181.0515671279508
Paddy,6.5,102,57,56,24.07023547660844,48.518566460356425,197.61252037989428
Paddy,6.4,89,57,55,32.43106263727894,45.45485902347079,165.24101207967772
Paddy,7.11,107,68,48,25.35129990040384,40.58178662671528,112.66501732510008
Paddy,6.4,104,55,44,24.21401764531071,54.02350235226388,113.20355034156051
Paddy,7.06,105,66,51,28.14044124737373,63.59670747418532,160.63734523833372
Paddy,6.04,100,61,58,22.11386337462144,55.68976180398929,85.81657186524535
Paddy,5.79,100,59,52,32.032954711310595,57.49899688094917,66.5711169697092
Paddy,6.62,104,57,43,21.118259655196564,76.16634777974994,103.19332364611648
Paddy,5.72,103,59,53,34.803304049007764,53.930218680932015,93.08584874811226
Paddy,5.86,95,66,50,31.58367153944986,60.55957956639243,94.44621806839852
Paddy,6.49,100,62,55,22.980735223012587,71.34612050964571,85.0411626574865
Paddy,7.0,101,61,45,20.082831756854038,55.861711292850806,56.31397844545428
Paddy,5.53,98,64,53,32.23192142682251,64.88346800911494,52.68109021001207
Paddy,6.94,101,64,51,30.602860157714257,74.4945483498698,198.15835846040477
Paddy,6.19,99,60,48,30.93510752061481,77.98082494630569,114.16597006037937
Paddy,6.21,90,55,44,31.569055200289185,45.88293923716152,107.64899707395224
Paddy,6.26,103,60,55,21.11066977601136,77.06350500645978,151.94709240396048
Paddy,5.76,102,55,43,25.37698592816409,59.68465172318153,82.73808317975963
Paddy,6.15,92,64,52,21.738035892876944,50.32977553195833,192.4941775925338
Paddy,7.26,95,62,44,32.946551388133905,58.36543024953045,167.9517521623328
Paddy,6.19,102,58,53,29.34947190241337,79.20130301141909,63.411650346838925
Paddy,6.03,108,53,49,24.963470372789736,59.70472375971478,112.63711636773924
Paddy,7.05,104,60,51,20.953375254290357,53.15006441150032,181.8677461343247
Paddy,5.86,97,57,57,24.66473482573493,65.33603417266903,191.70980334371157
Paddy,6.95,100,51,50,24.877749830401207,49.60582475112773,120.11022668748046
Paddy,6.86,101,49,53,30.94409267507096,43.03453312434656,142.01170838160616
Paddy,7.35,102,60,48,29.5633620703282,45.15518887642597,75.05509191381128
Paddy,6.16,101,59,49,33.3081911386449,45.1218335583109,198.6752939205465
Paddy,5.79,96,53,53,27.08322387742924,46.07610774049177,84.7507552075165
Paddy,5.95,88,56,38,21.793913689074525,45.55308690597641,191.40976612026884
Paddy,6.63,107,63,54,30.69867180834493,65.63498979212858,147.44699734885526
Paddy,6.3,103,66,49,31.411775729253463,47.2752033759658,141.16051923182886
Paddy,7.15,98,56,48,28.41915796354245,53.826691332954525,126.9032766524763
Paddy,6.32,88,61,53,31.564507699318412,75.87153639624047,84.6004717576638
Paddy,5.76,103,62,45,27.40693394546586,58.95846561051489,76.47920480082624
Paddy,5.97,96,59,42,27.840992440729917,66.70230954084109,83.0729313605263
Paddy,6.12,104,63,44,26.41311527537825,46.89279484806519,77.96573932163818
Paddy,7.2,89,60,55,20.381286901161427,47.69156075234683,166.937671035013
Paddy,6.27,104,55,45,21.61837140489957,41.63474465065916,102.5187888750095
Cholam (Jowar),6.99,90,50,23,20.471437785301013,46.75740252288658,58.676401484509455
Cholam (Jowar),7.63,87,50,37,29.546156168956703,51.14361356127834,195.3653945211217
Cholam (Jowar),7.72,83,50,27,24.7153397161449,47.08041937106987,182.56788274451387
Cholam (Jowar),7.29,79,50,24,27.62856036747054,43.548101350282224,189.16284247928195
Cholam (Jowar),6.9,85,50,26,33.613497108891394,44.82543484402403,199.23617339696528
Cholam (Jowar),7.94,70,56,29,23.739383437233123,58.43115072130903,76.0842873829231
Cholam (Jowar),7.41,80,46,24,26.155743845534445,48.2533487362317,109.4363028353988
Cholam (Jowar),6.64,80,52,36,31.33326707814573,54.57079444192302,163.73577135561368
Cholam (Jowar),7.27,72,47,20,23.431972482374334,60.13669083419428,154.40309270806884
Cholam (Jowar),7.11,78,49,27,21.154698647431896,67.61579314517462,73.08438595097826
Cholam (Jowar),7.94,79,50,26,24.34627179370652,41.57248559364396,172.37496874859266
Cholam (Jowar),7.74,86,56,27,22.418319308810062,71.9764159563617,83.6660857754991
Cholam (Jowar),7.04,75,57,32,33.9454647851386,65.11601557963631,83.57264222339346
Cholam (Jowar),6.36,85,58,26,32.12180569346626,43.27036127795488,130.54616343401204
Cholam (Jowar),7.15,91,62,27,29.501056347656352,74.94314496427108,138.94099022625548
Cholam (Jowar),6.41,72,46,27,33.07190885281577,76.83489602127253,137.01293117567167
Cholam (Jowar),6.62,80,47,24,32.05508115348672,42.44311839419455,63.72302560966323
Cholam (Jowar),7.91,79,42,31,22.798550883290535,51.07510592588815,181.61912939455704
Cholam (Jowar),7.34,79,47,36,33.388384977349666,72.24805119172245,89.84000638830591
Cholam (Jowar),6.48,84,53,42,28.09013362873476,69.93038761534633,69.42723819242062
Cholam (Jowar),6.92,80,38,30,32.111602327460936,47.38084077425509,183.31221198034655
Cholam (Jowar),6.59,77,53,31,33.4413694988524,48.37397293346841,193.347724734463
Cholam (Jowar),6.02,88,51,28,24.77005212457796,54.81888411165528,179.3191425898176
Cholam (Jowar),6.69,70,44,31,21.65077886791515,59.38091940764085,171.4274112087317
Cholam (Jowar),6.68,75,43,30,23.419027438129124,64.73019086121184,148.28629709585326
Cholam (Jowar),6.77,72,54,27,26.406616829393844,54.75654558279089,132.6286055913709
Cholam (Jowar),6.82,73,41,25,32.27022148883739,58.50138864532592,63.04801398671152
Cholam (Jowar),6.96,76,55,25,32.910958748845154,69.89883752535026,111.2679819606048
Cholam (Jowar),6.79,73,53,23,20.10428195796786,41.46732811562392,105.9032775518471
Cholam (Jowar),6.13,82,44,39,27.661209538663485,50.09747777376083,88.96306756404894
Cholam (Jowar),7.29,78,52,33,26.261165047231685,68.5339834353821,158.51301705328774
Cholam (Jowar),7.34,82,46,34,23.331617157060958,75.80827350748797,124.38136026181562
Cholam (Jowar),6.65,80,45,29,21.79798051000524,60.46709768462664,62.15693238614719
Cholam (Jowar),6.15,81,53,36,25.06422757105442,61.284539410612624,83.0274802924717
Cholam (Jowar),6.67,78,44,29,34.14364555868779,44.28688045359104,152.4888145489394
Cholam (Jowar),6.57,77,59,23,24.848043980311328,57.89649467293819,61.41962892354503
Cholam (Jowar),7.62,76,42,28,27.78185932615049,61.304690658200926,177.68103710731532
Cholam (Jowar),6.5,88,46,34,30.545284383427667,49.69882014538919,124.27197905209614
Cholam (Jowar),6.5,83,42,35,25.45444403568941,50.76972923797524,122.0879865989972
Cholam (Jowar),6.34,82,62,39,34.57673124081441,55.091366524184906,138.86116769892766
Cholam (Jowar),6.5,74,55,30,34.43670942413167,40.802847911109055,173.70214488877238
Cholam (Jowar),7.95,78,58,33,23.776734437380465,52.88316662332713,102.17138118532895
Cholam (Jowar),7.22,84,55,38,27.45872758838578,48.45792027986178,151.70242288385953
Cholam (Jowar),6.29,67,47,22,24.513174647251542,53.09989408711658,134.85979459936866
Cholam (Jowar),7.56,85,51,18,24.272607415662016,44.79048527277005,90.0542405254132
Cholam (Jowar),7.6,78,53,17,20.553304210317997,75.6210912295958,181.7944979532737
Cholam (Jowar),7.39,77,45,41,29.143465009698453,63.743698142161946,169.61390324103922
Cholam (Jowar),6.45,76,43,27,27.54018534843292,67.16409276577959,148.76777519876384
Cholam (Jowar),7.51,87,47,35,20.77218126874984,71.56684954429353,177.5872593641363
Cholam (Jowar),7.98,80,55,30,24.179696963549173,59.93768795716229,180.09413014397035
Cholam (Jowar),7.96,73,50,23,33.623988289499806,43.47681152349695,156.25444650725524
Cholam (Jowar),6.44,90,53,27,23.593428360004587,61.48426167274191,175.55199925455082
Cholam (Jowar),7.28,75,44,31,22.173423081368348,63.47364472083517,154.62071925039254
Cholam (Jowar),7.74,87,42,25,27.341791404163445,69.81757896737321,152.02111576404508
Cholam (Jowar),6.89,85,39,31,34.78475681165901,57.26638184918718,142.79170673227765
Cholam (Jowar),7.18,85,46,22,23.630829072672505,45.10321211182255,162.9074959336462
Cholam (Jowar),7.42,76,57,28,30.08203321108818,51.35103623194898,73.79076579396106
Cholam (Jowar),6.7,79,43,30,31.42429422993077,54.5232918559454,182.13061387983927
Cholam (Jowar),6.45,71,51,30,23.564563159886,65.83668965326405,180.7765291617848
Cholam (Jowar),7.96,78,46,23,30.92324522917789,62.83113218675648,54.38709245518388
Cholam (Jowar),7.95,75,57,21,25.5167469907888,54.243869035913846,173.8725125847144
Cholam (Jowar),6.73,77,44,27,29.48458745890369,79.46060995171919,69.33048012101678
Cholam (Jowar),7.04,78,52,32,29.50294566141342,64.23099277427548,100.2678281388713
Cholam (Jowar),7.89,76,57,22,28.036620261121374,49.48907166943978,161.52623844374116
Cholam (Jowar),7.98,81,57,28,21.354346550816125,44.07129890481615,74.11398440724624
Cholam (Jowar),7.8,91,47,29,32.52953743383857,46.11436556737328,172.69505361785934
Cholam (Jowar),7.19,79,49,24,24.81170097457604,49.83830913538033,174.82012669366128
Cholam (Jowar),7.59,67,52,27,22.79777765599781,46.42725493038223,126.12016006412544
Cholam (Jowar),7.88,84,52,20,20.61162712332146,47.46268096205223,50.95788075752504
Cholam (Jowar),7.23,80,52,30,28.863394147823627,51.40380674775388,93.05571997623692
Cholam (Jowar),7.12,72,52,27,30.16346542763424,46.93494381179019,142.53903775636132
Cholam (Jowar),7.95,72,51,33,20.248817433917843,75.87061698505701,197.17792670411356
Cholam (Jowar),7.33,88,50,30,27.681395874489212,43.20934982646569,144.77202905250027
Cholam (Jowar),6.44,73,49,34,23.39743662796907,60.98045558281019,88.97053715962397
Cholam (Jowar),6.8,79,43,27,29.677591856141746,56.41587307958646,145.1008554649417
Cholam (Jowar),6.75,78,49,22,22.61549643507487,79.29514467634425,130.99780695737832
Cholam (Jowar),7.7,85,51,33,30.36406607153699,44.481556086722094,166.97680927267157
Cholam (Jowar),6.63,76,45,30,25.801030194508066,55.91422396182966,66.04709582404377
Cholam (Jowar),6.82,74,49,33,34.050949831051014,78.77881733101475,164.1541853753042
Cholam (Jowar),6.76,83,63,31,22.0628141621899,74.62028503575921,131.18998680141652
Cholam (Jowar),6.44,79,46,35,25.11599526575388,72.68288283797119,194.4488005788492
Cholam (Jowar),6.34,78,51,18,21.70210281860884,50.3161130817976,101.28082490580292
Cholam (Jowar),7.01,83,50,27,33.87040427417844,46.83550349560263,144.89328397009223
Cholam (Jowar),7.06,86,46,30,33.160090300714714,66.74572879697723,189.80421582650263
Cholam (Jowar),7.13,84,49,31,23.86912441572733,77.17503956510343,65.37645919860189
Cholam (Jowar),7.2,77,47,20,29.89976069051269,62.27051572055719,190.5842730854677
Cholam (Jowar),6.09,82,48,24,32.25833300301824,62.864507578796,153.182858345122
Cholam (Jowar),6.07,79,37,27,28.328012173991937,51.199163746411365,60.17555886577578
Cholam (Jowar),6.11,70,53,26,27.944758675340097,70.77971732767747,95.14453504202244
Cholam (Jowar),6.73,82,52,19,23.627784363506777,47.48174994230094,156.22581329679224
Cholam (Jowar),7.87,78,52,22,21.396541517088487,52.94716945616975,60.10259022031576
Cholam (Jowar),7.57,75,58,27,33.458236369299904,57.01745754465667,137.32556902644097
Cholam (Jowar),6.71,82,52,28,33.506270857449955,60.3044151473782,101.88245854294352
Cholam (Jowar),7.36,82,44,31,29.49652185909902,49.69638929660321,143.13732766512155
Cholam (Jowar),6.66,79,48,28,25.08544686573051,44.59347298956814,56.86130507187693
Cholam (Jowar),6.3,75,45,36,25.238143619189916,64.4248016976653,180.73052092285644
Cholam (Jowar),6.39,74,50,30,30.88933518305359,51.54522212961023,196.02334537660957
Cholam (Jowar),7.27,76,46,34,33.45665389928865,63.24952885690449,195.33167829285367
Cholam (Jowar),7.63,73,51,36,33.30629636397676,46.17450861096809,162.44777476143872
Cholam (Jowar),7.03,74,49,38,31.69813318786436,59.2456040741927,69.5129360195948
Cumbu (Bajra),7.2,59,47,25,29.63047469231432,61.30357730206343,163.7394793893534
Cumbu (Bajra),7.5,56,40,16,21.262099474925733,42.07294147289708,53.68803746882023
Cumbu (Bajra),7.18,60,37,36,22.424430711419205,53.46417112775683,53.31853272934959
Cumbu (Bajra),7.44,58,44,36,33.47831282790619,45.376587077558966,98.5415328724312
Cumbu (Bajra),7.3,57,50,20,29.09643589489385,42.53499881891071,123.29647856069988
Cumbu (Bajra),7.47,55,24,34,20.137955774249445,79.5984092955978,165.56111267116898
Cumbu (Bajra),6.73,65,37,21,21.52207314299048,52.89415379898892,152.49430649097576
Cumbu (Bajra),6.87,64,39,39,29.95252653662084,72.3949778341854,116.88540595651224
Cumbu (Bajra),6.69,64,42,34,20.07592375769328,50.18562619055055,91.04399994224988
Cumbu (Bajra),7.03,55,24,27,22.41212077126248,67.26010888895718,199.56867502365668
Cumbu (Bajra),6.88,58,45,33,28.231006840498797,70.40911439558747,113.92719533539594
Cumbu (Bajra),7.34,68,41,33,30.3784279653904,63.82554962431377,117.70805364945132
Cumbu (Bajra),6.53,51,39,30,29.77941889253901,58.863047542006335,74.54357317875038
Cumbu (Bajra),7.13,61,38,27,23.3640396419084,56.47363656589074,169.2214323124894
Cumbu (Bajra),6.69,53,46,25,30.68268832021304,53.95473066171981,154.0523338672233
Cumbu (Bajra),7.07,54,36,24,23.558736312452,77.18116576991304,83.11544191831406
Cumbu (Bajra),6.55,60,40,32,24.880995472389017,73.22477631150917,62.357156842376405
Cumbu (Bajra),6.94,58,40,31,31.197371076770363,78.60107642666051,152.07489531120694
Cumbu (Bajra),6.82,57,36,28,29.74449348570822,44.97188893942179,148.17668214217028
Cumbu (Bajra),7.47,57,34,33,32.738351157412666,69.23469900814577,90.9889290497314
Cumbu (Bajra),6.7,69,44,25,29.86419338450515,77.53361827284152,192.62953433756155
Cumbu (Bajra),6.79,55,30,33,28.524629050032075,47.2493226466264,72.65868376713503
Cumbu (Bajra),6.9,63,39,23,21.40512151742139,42.6598506946711,114.8502201563903
Cumbu (Bajra),6.53,59,42,33,25.515737045891505,69.64482597160236,191.54238802513984
Cumbu (Bajra),6.84,64,38,21,23.978035515225884,62.97892452719648,112.95909753891834
Cumbu (Bajra),7.5,65,42,32,23.659844650686253,73.67315107033087,145.77889214961283
Cumbu (Bajra),7.1,65,45,22,34.59515832128668,45.59089506505158,109.63915969441912
Cumbu (Bajra),7.18,66,41,30,25.896465870001407,71.81069247439561,91.13228035230053
Cumbu (Bajra),7.06,55,42,26,33.3806983276567,48.065092801909785,197.59664719397423
Cumbu (Bajra),6.96,66,42,21,29.467079389958943,46.54623771462818,111.40010094725643
Cumbu (Bajra),7.29,53,44,20,31.922169553124725,46.57063191723972,184.11488055187016
Cumbu (Bajra),6.76,68,44,37,27.539556396577883,72.58298880925528,84.49319088366292
Cumbu (Bajra),6.59,61,43,35,28.653558269395383,66.607888827848,81.9657056037625
Cumbu (Bajra),7.36,53,35,32,27.38776540728296,60.92261699076477,54.6701124326767
Cumbu (Bajra),7.46,61,44,34,22.928644816970667,54.3532193649401,147.75002380638276
Cumbu (Bajra),7.43,63,39,22,30.83678172892258,75.08802163252433,105.27895155856416
Cumbu (Bajra),7.03,65,32,31,24.21158543661284,55.69780429690542,179.65373747594555
Cumbu (Bajra),6.56,65,44,28,20.36473949647181,72.66397757886308,120.98148600373358
Cumbu (Bajra),6.59,62,37,32,29.68208443860752,57.56539634280874,195.22901418720824
Cumbu (Bajra),7.29,55,45,27,22.656660191105736,55.07777717699631,77.82882735546818
Cumbu (Bajra),7.31,59,42,25,34.106878765293715,58.50719142678426,180.2934751933416
Cumbu (Bajra),6.6,55,36,30,34.30892865503881,52.05511496656568,166.48952791876127
Cumbu (Bajra),7.02,45,37,26,33.72296585330673,69.90437520705004,165.63827669660782
Cumbu (Bajra),7.34,48,29,24,25.552380503831664,60.10881560369917,176.71748421753315
Cumbu (Bajra),7.5,55,41,26,20.231849247933013,49.28850780587269,164.15359864144983
Cumbu (Bajra),6.66,64,32,31,33.92477843881588,75.98298293098273,143.93304824471232
Cumbu (Bajra),6.82,56,40,37,26.422762224759715,55.35564885492846,69.68673165235813
Cumbu (Bajra),6.57,62,40,30,34.49982228565504,61.74211444455955,54.878926923687786
Cumbu (Bajra),6.97,58,41,35,34.45429965633879,76.25888443858187,188.12717717235304
Cumbu (Bajra),6.6,58,46,29,32.7951418320104,64.96951983655968,142.49754717811072
Cumbu (Bajra),7.36,57,38,24,24.416733381043784,44.67592162833456,169.48059364642643
Cumbu (Bajra),6.74,58,37,38,25.77646592902888,77.59328494453901,122.2283527268825
Cumbu (Bajra),7.39,52,39,25,32.76705007275285,65.10832212285672,67.59622834435918
Cumbu (Bajra),6.72,58,36,36,24.75383007734417,53.396224586283445,68.77786883038257
Cumbu (Bajra),7.0,62,43,39,22.542391200291387,45.57088290653549,152.8347930843457
Cumbu (Bajra),7.01,58,38,25,28.35201893687525,71.76100757081184,114.5458842349194
Cumbu (Bajra),6.61,56,36,42,34.04232161241171,64.80291023714054,80.07870900505051
Cumbu (Bajra),6.87,56,35,30,30.4404469501246,61.33844367905286,123.73918201121552
Cumbu (Bajra),7.06,63,40,29,28.55091755134048,75.7557033220383,59.63134056127012
Cumbu (Bajra),7.46,66,43,29,21.457647406561527,71.54388844898122,137.2957102871598
Cumbu (Bajra),7.03,65,38,26,29.225108400487542,46.06699518931005,90.34901066526464
Cumbu (Bajra),6.82,60,38,29,34.85080775156395,52.468882711821934,169.63386509557824
Cumbu (Bajra),7.38,65,39,31,22.10126022854786,49.93956559257863,96.55429383853608
Cumbu (Bajra),6.54,63,34,27,27.77494478545605,69.75785170290708,118.28302236227016
Cumbu (Bajra),7.11,61,43,30,33.16059607891933,41.341297389431176,51.7430809862151
Cumbu (Bajra),7.45,61,32,35,31.111529266313067,62.79558739485266,60.86703316918384
Cumbu (Bajra),6.61,59,25,27,30.455236114929026,70.49834742962761,108.87403346100272
Cumbu (Bajra),6.72,55,41,23,30.53726125980664,75.07062547046998,121.99082520756852
Cumbu (Bajra),7.06,64,47,24,25.39236726829633,53.68326994863629,140.00308221789555
Cumbu (Bajra),7.44,55,38,33,24.4038776639674,72.85029218688052,93.74938680639548
Cumbu (Bajra),6.75,66,38,24,32.140417332177705,44.42526947820829,154.2472829189814
Cumbu (Bajra),6.55,60,45,30,32.15170092018771,73.85809166938073,179.01835957838068
Cumbu (Bajra),7.03,58,38,30,33.00608477870156,45.0995464932793,166.97764833400248
Cumbu (Bajra),6.77,56,42,30,33.69860828834707,55.89149162241469,55.94282380225357
Cumbu (Bajra),7.39,51,43,24,27.67013598291407,71.89181463118214,122.07604208867434
Cumbu (Bajra),6.95,63,40,23,27.522744420307998,45.99669709395095,65.73952676272623
Cumbu (Bajra),6.69,66,33,28,31.974427684501627,49.17005580930566,86.30675237937912
Cumbu (Bajra),6.75,56,32,32,29.74945896166648,68.89010273572265,197.999388990072
Cumbu (Bajra),7.2,59,39,34,30.529503158865552,68.80146146184298,71.37433143522699
Cumbu (Bajra),6.95,58,42,28,31.93689004154152,65.6459053154119,124.8332230177034
Cumbu (Bajra),6.67,57,32,29,33.350080127263496,67.75793777868401,142.72336014771787
Cumbu (Bajra),6.78,59,26,28,25.06992735277304,61.70897773390385,155.36974558161558
Cumbu (Bajra),6.53,62,41,18,25.63374428959916,50.07196235627811,133.9473025230371
Cumbu (Bajra),6.54,53,41,35,21.409729097613035,53.827839740156776,51.46562711287755
Cumbu (Bajra),6.8,62,33,29,28.67420211494261,47.26390867205703,98.96919623659878
Cumbu (Bajra),6.78,70,37,29,20.53913410695113,76.33802245334513,127.65674650770671
Cumbu (Bajra),7.29,57,49,34,26.9839702719869,63.33567179064482,63.179974871725
Cumbu (Bajra),6.95,49,45,27,28.13966952061365,56.0340566705456,102.59403968137713
Cumbu (Bajra),6.7,57,44,24,24.298118781924263,58.48023214576531,54.98046631870498
Cumbu (Bajra),6.7,63,35,33,28.86249890853516,77.89133358447262,61.78677457325311
Cumbu (Bajra),7.23,61,39,25,20.457503749085745,46.13405612464321,109.53849143023942
Cumbu (Bajra),7.05,49,47,29,20.560222831238217,63.44919328067189,69.90736310645906
Cumbu (Bajra),7.05,62,40,30,32.33900840989487,60.23554715537864,135.1311272392337
Cumbu (Bajra),6.74,58,36,25,25.402859621168943,64.45816941738592,153.41974537058985
Cumbu (Bajra),7.24,59,45,36,21.90590768977827,40.72440735283362,170.08800486636244
Cumbu (Bajra),6.5,53,37,33,27.833648900822062,74.88495635776606,80.02253663672151
Cumbu (Bajra),6.71,58,35,33,31.54990329647916,77.28473129934449,75.12238733886046
Cumbu (Bajra),7.22,56,44,33,23.23731541245265,62.60532734356836,65.68517605016004
Cumbu (Bajra),6.76,58,39,39,29.343357137285004,67.8660329550757,145.46453743154552
Cumbu (Bajra),6.96,57,34,35,21.28021197490652,76.89997524709183,155.9713589730352
Ragi,4.95,55,43,23,20.775225817529115,68.28954537253594,54.73792172384631
Ragi,5.63,57,33,32,27.97031947352222,46.10156171657045,190.43183693655348
Ragi,7.47,42,39,31,28.1095268241516,63.05153440667253,57.79569254772086
Ragi,6.8,50,34,28,29.5614485224731,64.26860185531424,131.19445029516055
Ragi,6.49,55,40,20,30.891370005839924,56.96522685209544,156.35907791763748
Ragi,6.45,48,38,24,34.63778119193802,69.45776942498891,180.64536856191285
Ragi,5.84,60,41,26,27.74450522451793,77.37468059076059,157.11303981986418
Ragi,4.98,50,34,22,24.84434709411869,77.02274051627106,170.25921246046877
Ragi,5.33,55,29,19,31.927792921530557,58.03357485616529,100.9175288814209
Ragi,6.87,44,40,30,24.062483768931116,44.52952183363021,172.22376706197684
Ragi,6.59,50,49,29,26.584571310584543,79.39364795849337,62.01722695770127
Ragi,4.81,47,38,22,21.17684572013399,73.55592345783737,184.22249840907915
Ragi,4.99,51,33,17,20.380261151231863,44.98650724813067,132.13885642306042
Ragi,4.75,47,42,21,34.43972622016888,76.83367530469489,172.59466549437406
Ragi,5.51,53,39,26,32.53970180768309,74.79585448248514,117.84774267774502
Ragi,7.42,52,42,21,30.43961309140547,60.75352228504288,146.53665427947874
Ragi,6.0,60,47,27,26.134294166214048,63.65101742979717,128.960399140417
Ragi,7.03,49,46,21,22.59941480106269,55.96010815480521,159.7384282632998
Ragi,6.36,45,35,14,22.34655564006629,42.19046555288125,62.24449730458844
Ragi,6.47,50,27,27,23.75364347246893,53.40788966583604,59.052812598584566
Ragi,6.69,48,36,25,28.238399970591807,72.11413794392045,87.06548510152197
Ragi,7.08,53,32,19,30.71893884050093,40.18528092018411,73.93170201697825
Ragi,6.72,46,37,32,29.90296065076597,53.33996686764577,180.76753498883025
Ragi,6.99,48,40,17,24.19900845418914,55.92674774363773,82.88209810370665
Ragi,6.67,39,39,19,34.32297920994791,61.49582411751692,196.37978837286968
Ragi,4.62,54,45,27,31.068453750436525,76.79422465651042,100.53436876566602
Ragi,5.47,52,49,29,28.31531078767101,53.85383977463845,77.31768735330489
Ragi,4.83,43,39,35,29.175811193515283,53.87812807584911,168.45477607137187
